seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea	GEOAC
chr16	30490382	30490557	175	*	0.0075295612455549	0.0527069287188843	7652	693	23207	22515	7	0	0	0	0	GSE31781
chr16	66614096	66614713	617	*	0.00750256664798597	0.0525179665359018	7917	5090	20790	15701	7	0	0	0	0	GSE31781
chr3	45705493	45706258	765	*	0.00533292917074651	0.0479963625367186	14179	3312	22639	19328	9	0	0	0	0	GSE31781
chr19	10689819	10690176	357	*	0.00517988846370621	0.0362592192459435	10035	6039	16856	10818	7	0	0	0	0	GSE31781
chr12	15366503	15367295	792	*	-0.00570692956561582	0.0342415773936949	4621	5284	16330	11047	8	0	0	0	0	GSE31781
chr3	61211587	61212310	723	*	0.00415481154799473	0.0332384923839578	14433	2385	20909	18525	8	0	0	0	0	GSE31781
chr12	4253246	4254283	1037	*	0.00356089486869077	0.032048053818217	4431	2320	22726	20407	9	0	0	0	0	GSE31781
chr19	14501235	14501403	168	*	0.00507729199257288	0.0304637519554373	10153	11020	19779	8760	9	0	0	0	0	GSE31781
chr10	131155063	131155565	502	*	0.00401276647685831	0.0160510659074332	3042	10369	21878	11510	7	0	0	0.00667779632721202	0.003	GSE31781
chr11	14949954	14950394	440	*	0.00285740391392018	0.0142870195696009	3330	5238	18688	13451	7	0	0	0.011686143572621	0.005	GSE31781
chr19	14501456	14501546	90	*	0.00506316827490279	0.0101263365498056	10153	2223	8304	6082	9	0	0	0.01669449081803	0.006	GSE31781
chr9	92603597	92603970	373	*	0.00400475973069381	0.00800951946138762	19835	11983	14239	2257	7	0	0	0.0250417362270451	0.008	GSE31781
chr12	15366586	15366586	0	*	-0.00752828284243815	0.00752828284243815	4621	22887	22887	1	8	0	0	0.0333889816360601	0.01	GSE31781
chr9	92603599	92603599	0	*	0.00506915777305713	0.00506915777305713	19835	5976	5976	1	7	0	0	0.113522537562604	0.037	GSE31781
chr9	92603849	92603849	0	*	0.00360899336501411	0.00360899336501411	19835	2183	2183	1	7	0.00166944908180301	0.001	0.268781302170284	0.088	GSE31781
chr15	31195708	31196075	367	*	-0.0286555102976039	0.229244082380832	53205	4531	344628	340098	8	0.00114275848744815	0.243	0.0296747248952814	0.97	GSE74738
chr1	161008127	161008977	850	*	0.024888339149606	0.24888339149606	12095	6926	344919	337994	11	0.00230195954306103	0.425	0.0241006942874408	0.958	GSE74738
chr5	139493486	139493680	194	*	-0.0357035791004434	0.32133221190399	128976	781	297070	296290	9	0.00498209815391066	0.629	0.0113083762552873	0.85	GSE74738
chr3	43020564	43021399	835	*	-0.03606352319261	0.28850818554088	110393	65648	347827	282180	8	0.00563980088049953	0.659	0.0158177505744622	0.912	GSE74738
chr1	6684860	6685162	302	*	0.0239932187915377	0.167952531540764	2161	35252	346285	311034	7	0.0105191329833807	0.876	0.0534835635977983	0.993	GSE74738
chr6	28945182	28945507	325	*	-0.0271181612815095	0.216945290252076	134081	23010	308578	285569	8	0.0140337319285899	0.904	0.0334894007094968	0.981	GSE74738
chr16	3508542	3508542	0	*	0.0423751859037093	0.0423751859037093	59857	192322	192322	1	11	0.0147366517176318	0.792	0.278253470409543	1	GSE74738
chr19	58220295	58220837	542	*	-0.0205513394972291	0.164410715977833	87187	48106	346668	298563	8	0.0176716501350346	0.941	0.0551812587608059	0.993	GSE74738
chr3	45883249	45883859	610	*	-0.024050925597563	0.264560181573193	110625	25488	310080	284593	11	0.0199160606895191	0.949	0.0204874399332432	0.94	GSE74738
chr2	70995349	70995607	258	*	0.0311949590057819	0.15597479502891	91545	205523	326138	120616	12	0.0218809475852033	0.951	0.0591644708987097	0.994	GSE74738
chr16	3508257	3508546	289	*	0.0334948384213515	0.0669896768427029	59857	36484	56587	20104	11	0.0227893994763042	0.941	0.151711465813845	1	GSE74738
chr7	11871535	11872073	538	*	-0.027852861654756	0.222822893238048	143612	133968	339447	205480	8	0.0238828302592582	0.954	0.0315820628023891	0.977	GSE74738
chr6	28411030	28411423	393	*	-0.0264018240082448	0.184812768057713	133962	97338	315370	218033	7	0.0261025769614956	0.961	0.0458007736228321	0.992	GSE74738
chr3	148804272	148804272	0	*	-0.038201692810014	0.038201692810014	115083	70608	70608	1	23	0.0273111057216027	0.918	0.332291970682901	1	GSE74738
chr2	70995440	70995522	82	*	0.0313059544574176	0.0626119089148352	91545	50226	81963	31738	12	0.0307928195304825	0.965	0.166452228173518	1	GSE74738
