,x
1,cg00174179
2,cg00199549
3,cg00468144
4,cg01051310
5,cg01299496
6,cg01435220
7,cg01445659
8,cg02017282
9,cg02789441
10,cg02929734
11,cg02951971
12,cg03074424
13,cg03366382
14,cg03471150
15,cg03617406
16,cg04025728
17,cg04798158
18,cg05569124
19,cg05925507
20,cg06143615
21,cg06513075
22,cg06536629
23,cg06710522
24,cg07087018
25,cg07896667
26,cg08234897
27,cg08914916
28,cg09455096
29,cg11149452
30,cg11343579
31,cg11491989
32,cg12052497
33,cg13515774
34,cg13774825
35,cg13954297
36,cg14073058
37,cg14360865
38,cg14493980
39,cg15361065
40,cg15931557
41,cg15988263
42,cg16711450
43,cg16911228
44,cg17629447
45,cg17678877
46,cg18152712
47,cg19423197
48,cg19987840
49,cg22682751
50,cg23022344
51,cg23239078
52,cg23369529
53,cg23823879
54,cg24642820
55,cg24719901
56,cg25092540
57,cg25245636
58,cg25503001
59,cg25988717
60,cg26345046
61,cg26545834
